fault_num,elapsed_time
1,4.4
2,4.6
3,5.4
4,15.2
5,21.2
6,26.7
7,28.4
8,29.9
9,31.1
10,31.4
11,32.5
12,311.6
13,33.2
14,35.4
15,36.8
16,38.5
17,43.5
18,47.9
19,57.9
20,59.7
21,64
22,66.9
23,73.5
24,80.8
25,83.7
26,88
27,118
28,164
29,164.9
30,174.6
31,180.4
32,187.6
33,191.6
34,193.9
35,194.1
36,197.9
37,209.8
38,210.2
39,213.1
40,216.1
41,216.7
42,222.4
43,229.4
44,229.8
45,239.1
46,239.6
47,239.7
48,240.1
49,244.4
50,244.5
51,246.9
52,253.9
53,254.5
54,257.3
55,259.5
56,259.7
57,268.4
58,269.3
59,274.8
60,274.9
61,292.1
62,293.9
63,298.7
64,299.8
65,308.1
66,308.8
67,310.2
