fault_num,elapsed_time
1,25.7
2,29.2
3,49
4,51.9
5,61.2
6,63
7,64.9
8,70.7
9,196.2
10,72.8
11,79.7
12,80.4
13,90
14,105
15,105
16,105.4
17,105.9
18,107.9
19,109
20,109.5
21,112
22,118.9
23,119.3
24,134.9
25,143
26,144.9
27,145.9
28,149.7
29,153.1
30,160.4
31,162.4
32,163.6
33,174.8
34,175.5
35,177.9
36,178.5
37,179.1
38,185.3
39,188.4
40,188.7
41,188.8
42,189
43,189.1
44,189.6
45,190.4
46,191
47,191.2
48,192.7
49,192.7
50,192.9
51,193.9
52,194
53,194.4
54,194.5
55,194.6
56,195.6
57,195.9
